,DATE,ZCODE,SECURITYVARIETYCODE,SWAPVALUE,PUREBONDVALUE,PUREBONDOR,SWAPOR,FCLOSE,SWAPPRICE,USWAPTVOL,USWAPTRATE,SYFE,SECUCODE
231,2026-02-02 00:00:00,127110,1004301237,105.4495912807,99.2110545912,40.98630498,32.645369509,139.874,,48995599.0,99.99,4899559900.0,127110.SZ
232,2026-02-02 00:00:00,127095,1003623661,114.1124586549,107.7504463734,31.3368109,24.0145043478,141.516,,6927447.0,98.96,692744700.0,127095.SZ
233,2026-02-02 00:00:00,127082,1003410714,139.8865784499,109.3448184187,55.38001933,21.4555405405,169.9,,11585420.0,99.96,1158542000.0,127082.SZ
234,2026-02-02 00:00:00,127046,1002792234,43.5732647815,108.4336308784,13.8687315,183.3664188791,123.472,,11274614.0,99.95,1127461400.0,127046.SZ
235,2026-02-02 00:00:00,123223,1003597155,100.9364548495,98.6210143134,40.4964256,37.2734956925,138.559,,2052762.0,57.02,205276200.0,123223.SZ
236,2026-02-02 00:00:00,123180,1003410694,94.1741490917,109.8462715262,41.92561826,65.544368071,155.9,,3197783.0,99.93,319778300.0,123180.SZ
237,2026-02-02 00:00:00,123104,1002578131,61.7562102831,119.4078024159,8.03314138,108.8858746492,129.0,,9698962.0,99.96,969896200.0,123104.SZ
238,2026-02-02 00:00:00,128141,1002481962,120.243204578,108.2896869264,22.26464381,10.1101725164,132.4,,11575589.0,82.68,1157558900.0,128141.SZ
239,2026-02-02 00:00:00,127080,1003342137,92.3289564616,96.8961071924,70.62604968,79.06625,165.33,,2793483.0,99.77,279348300.0,127080.SZ
240,2026-02-02 00:00:00,123255,1004187447,147.8306508048,102.1405100849,130.07619583,58.9663569231,235.001,,9097692.0,99.97,909769200.0,123255.SZ
241,2026-02-02 00:00:00,123250,1004000720,60.1933216169,93.1328200969,36.25164563,110.8124233577,126.895,,3955165.0,99.39,395516500.0,123250.SZ
242,2026-02-02 00:00:00,123172,1003328752,110.5685618729,108.1072577837,26.45681965,23.6418360557,136.709,,7960141.0,99.5,796014100.0,123172.SZ
243,2026-02-02 00:00:00,123128,1002821560,128.5596707819,107.4199264067,23.81222409,3.4531274008,132.999,,8266987.0,59.93,826698700.0,123128.SZ
244,2026-02-02 00:00:00,128129,1002344372,77.0,107.0130791875,0.95027713,40.2987012987,108.03,,49996750.0,99.99,4999675000.0,128129.SZ
245,2026-02-02 00:00:00,128121,1002306691,86.0,107.0179858081,15.85529205,44.1697674419,123.986,,6520304.0,97.32,652030400.0,128121.SZ
246,2026-02-02 00:00:00,123171,1003302950,77.2492625369,97.9645471624,30.66155431,65.6999637232,128.002,,3798878.0,99.97,379887800.0,123171.SZ
247,2026-02-02 00:00:00,123076,1002445844,113.4645669291,111.1036571293,22.40821186,19.8612074948,136.0,,5740595.0,67.54,574059500.0,123076.SZ
248,2026-02-02 00:00:00,118055,1004199384,192.5778132482,100.9500359046,131.11334029,21.1505084956,233.309,,,,,118055.SH
249,2026-02-02 00:00:00,118033,1003419936,75.0694864048,109.9230191149,20.92462623,77.0679491307,132.924,,,,,118033.SH
250,2026-02-02 00:00:00,118012,1003136445,121.0213776722,106.6092668107,50.31338719,32.412969578,160.248,,,,,118012.SH
251,2026-02-02 00:00:00,118000,1002550590,129.8975286317,112.2248814904,16.96693127,1.0535006961,131.266,33.18,,,,118000.SH
252,2026-02-02 00:00:00,118032,1003408924,47.1203458374,110.0567188049,14.60545196,167.6784258656,126.131,,,,,118032.SH
253,2026-02-02 00:00:00,118006,1002977156,121.2462462462,108.3876082666,39.00482021,24.2628160991,150.664,,,,,118006.SH
254,2026-02-02 00:00:00,113051,1002670978,90.990990991,109.152132589,13.64871859,36.3321782178,124.05,,,,,113051.SH
255,2026-02-02 00:00:00,110087,1003127220,102.1428571429,106.6127321069,27.41536336,32.9911888112,135.841,,,,,110087.SH
256,2026-02-02 00:00:00,113652,1003155371,95.232856619,108.0251437774,24.76910031,41.5288848672,134.782,,,,,113652.SH
257,2026-02-02 00:00:00,113049,1002663874,52.1961184883,106.0679033557,7.68384816,118.8247005871,114.218,,,,,113049.SH
258,2026-02-02 00:00:00,127098,1003657837,54.3571428571,104.5373957994,19.23866961,129.314848883,124.649,,4692914.0,99.85,469291400.0,127098.SZ
259,2026-02-02 00:00:00,123263,1004502727,121.0840606339,98.7468233163,111.67567014,72.6263547041,209.023,,,,,123263.SZ
260,2026-02-02 00:00:00,123124,1002747224,101.2582384661,101.5803507608,43.19796979,43.6534964497,145.461,,5224769.0,99.9,522476900.0,123124.SZ
261,2026-02-02 00:00:00,113066,1003416047,106.3829787234,104.5942089353,38.27056151,35.94562,144.623,,,,,113066.SH
262,2026-02-02 00:00:00,113054,1002954680,80.2024746907,108.2690363638,14.2893704,54.284516129,123.74,,,,,113054.SH
263,2026-02-02 00:00:00,110075,1002410484,117.6661264182,105.2628115839,27.41251918,13.9818264463,134.118,,,,,110075.SH
264,2026-02-02 00:00:00,113644,1003060085,117.6407506702,112.4885788906,29.14022155,23.4844211486,145.268,,,,,113644.SH
265,2026-02-02 00:00:00,113053,1002894415,100.8,105.0500153003,25.55923921,30.8531746032,131.9,,,,,113053.SH
266,2026-02-02 00:00:00,127093,1003622680,96.354679803,98.2502106886,38.99410397,41.7284560327,136.562,,2425172.0,99.8,242517200.0,127093.SZ
267,2026-02-02 00:00:00,127056,1002954710,66.4867296446,105.1084122331,19.21120045,88.4601644114,125.301,,49996342.0,99.99,4999634200.0,127056.SZ
268,2026-02-02 00:00:00,127096,1003629437,121.8538055765,92.1221677205,70.17945179,28.6566301793,156.773,,2918947.0,98.78,291894700.0,127096.SZ
269,2026-02-02 00:00:00,113601,1002341676,182.5833333333,113.9024100628,105.38810362,28.1288909174,233.942,,,,,113601.SH
270,2026-02-02 00:00:00,123072,1002415239,42.6010331206,116.2995771994,9.38990757,198.6312553495,127.22,,1418058.0,99.86,141805800.0,123072.SZ
271,2026-02-02 00:00:00,113046,1002583641,107.9457364341,109.6472449075,26.65890522,28.6553824057,138.878,,,,,113046.SH
272,2026-02-02 00:00:00,110074,1002337737,409.6385542169,110.9424724243,342.47346329,19.8351558824,490.891,,,,,110074.SH
273,2026-02-02 00:00:00,113649,1003129463,117.115804807,111.7794566336,27.86070384,22.0347674129,142.922,,,,,113649.SH
274,2026-02-02 00:00:00,110081,1002724770,81.3302752294,106.229068265,3.95742126,35.7833840948,110.433,,,,,110081.SH
275,2026-02-02 00:00:00,127017,1002258449,63.8921453693,112.3830853295,0.90486452,77.4866055046,113.4,,9995501.0,99.96,999550100.0,127017.SZ
276,2026-02-02 00:00:00,123192,1003446392,76.4232317424,109.686980554,17.54357659,68.7052445448,128.93,,7186755.0,99.14,718675500.0,123192.SZ
277,2026-02-02 00:00:00,123175,1003393091,72.5,94.6929662263,30.52711825,70.4827586207,123.6,,4198713.0,99.97,419871300.0,123175.SZ
278,2026-02-02 00:00:00,127061,1003062868,88.5931558935,110.3345272025,7.66530026,34.0871072961,118.792,,27890201.0,77.69,2789020100.0,127061.SZ
279,2026-02-02 00:00:00,127016,1002204295,88.7961859356,110.6714992242,0.40254336,25.1371315436,111.117,,13998370.0,99.99,1399837000.0,127016.SZ
280,2026-02-02 00:00:00,123265,1004545356,119.745057232,83.8430717263,125.13488129,57.6348989789,188.76,,,,,123265.SZ
281,2026-02-02 00:00:00,123207,1003538141,191.1877394636,87.2416967172,133.69215372,6.6370681363,203.877,,1967023.0,49.18,196702300.0,123207.SZ
282,2026-02-02 00:00:00,123195,1003448490,110.3738632536,102.9453731787,63.43813695,52.4382630455,168.252,,5459448.0,99.98,545944800.0,123195.SZ
283,2026-02-02 00:00:00,123142,1002981653,62.4443785227,94.7223294247,28.76794811,95.329031829,121.972,,5493666.0,99.88,549366600.0,123142.SZ
284,2026-02-02 00:00:00,128138,1002443333,81.843575419,125.5596775458,5.22486405,61.4298976109,132.12,,4198611.0,99.97,419861100.0,128138.SZ
285,2026-02-02 00:00:00,127044,1002747235,79.7883064516,109.9499529224,18.00732656,62.6165609602,129.749,,3371164.0,28.84,337116400.0,127044.SZ
286,2026-02-02 00:00:00,123259,1004419258,107.9531357684,100.11992661,57.34130591,45.9244318182,157.53,,,,,123259.SZ
287,2026-02-02 00:00:00,123247,1003911119,194.3362831858,104.0766818825,123.12106401,19.4923542805,232.217,,19643425.0,72.75,1964342500.0,123247.SZ
288,2026-02-02 00:00:00,123229,1003626431,97.002997003,100.0086987954,37.98799671,42.2636457261,138.0,,1779478.0,35.59,177947800.0,123229.SZ
289,2026-02-02 00:00:00,123221,1003570827,130.4225352113,94.1579196384,40.19001323,1.2095032397,132.0,,4049217.0,80.98,404921700.0,123221.SZ
290,2026-02-02 00:00:00,118048,1003862566,212.158808933,95.7746383658,176.43330689,24.7900105263,264.753,,,,,118048.SH
291,2026-02-02 00:00:00,118031,1003382516,117.625,112.3355186723,18.35615447,13.0337938363,132.956,,,,,118031.SH
292,2026-02-02 00:00:00,118061,1004467940,98.021567928,84.3778392022,138.07080378,104.9334694866,200.879,,,,,118061.SH
293,2026-02-02 00:00:00,118013,1003139421,153.6851683348,112.8845176533,87.51641447,37.7341758437,211.677,,,,,118013.SH
294,2026-02-02 00:00:00,118027,1003302949,69.7361993161,78.8702792327,41.6769423,60.2338542907,111.741,,,,,118027.SH
295,2026-02-02 00:00:00,118064,1004535391,96.9158143194,98.5300189078,101.06664161,104.4155552849,198.111,,,,,118064.SH
296,2026-02-02 00:00:00,118042,1003558168,114.7205116059,108.3657525556,36.7027834,29.1303516052,148.139,,,,,118042.SH
297,2026-02-02 00:00:00,118025,1003269675,96.8426546055,107.3977389427,31.7327547,46.0905843363,141.478,,,,,118025.SH
298,2026-02-02 00:00:00,113681,1003689810,120.2678571429,107.0983831129,30.0626545,15.8206384558,139.295,,,,,113681.SH
299,2026-02-02 00:00:00,113695,1004285100,149.2759795571,89.1662924172,102.8445897,21.1641689016,180.869,23.48,,,,113695.SH
300,2026-02-02 00:00:00,113688,1003974826,98.9263803681,106.0097722564,29.12205836,38.3675410853,136.882,,,,,113688.SH
301,2026-02-02 00:00:00,111022,1004281651,102.296819788,99.690196652,53.40826394,49.4992711572,152.933,,,,,111022.SH
302,2026-02-02 00:00:00,111012,1003344485,401.9874476987,103.5447686648,401.19963248,29.1000510018,518.966,,,,,111012.SH
303,2026-02-02 00:00:00,127070,1003197915,261.3382899628,109.7549354028,198.66538466,25.4312944523,327.8,,9344050.0,61.47,934405000.0,127070.SZ
304,2026-02-02 00:00:00,127064,1003087042,114.67077397,106.8191163812,40.09664662,30.5040463398,149.65,,11364551.0,99.95,1136455100.0,127064.SZ
305,2026-02-02 00:00:00,127049,1002822669,81.8696883853,105.3964844063,13.78937417,46.4888927336,119.93,,81434368.0,99.92,8143436800.0,127049.SZ
306,2026-02-02 00:00:00,123258,1004361060,87.5321336761,98.0473383492,59.03542373,78.1402936858,155.93,,,,,123258.SZ
307,2026-02-02 00:00:00,113694,1004197893,106.765163297,90.8996341139,53.80699973,30.9509541151,139.81,,,,,113694.SH
308,2026-02-02 00:00:00,111002,1002870488,98.1684981685,109.9218221874,22.96557436,37.6877537313,135.166,,,,,111002.SH
309,2026-02-02 00:00:00,110098,1004062633,105.6640625,101.898920189,32.48423021,27.7634011091,135.0,,,,,110098.SH
310,2026-02-02 00:00:00,128108,1002251664,68.0,107.3353828574,0.31174915,58.3382352941,107.67,,15203442.0,48.36,1520344200.0,128108.SZ
311,2026-02-02 00:00:00,127059,1003049695,91.0539215686,112.5530216731,17.58635888,45.3501372813,132.347,,3790713.0,99.76,379071300.0,127059.SZ
312,2026-02-02 00:00:00,123054,1002268484,117.8137651822,114.2063278665,29.34309575,25.3826323024,147.718,,1666935.0,61.51,166693500.0,123054.SZ
313,2026-02-02 00:00:00,123160,1003246599,160.799190693,99.3001087422,80.22739579,11.297823844,178.966,,2316384.0,69.17,231638400.0,123160.SZ
314,2026-02-02 00:00:00,123222,1003591449,175.9592326139,99.7702503037,118.5020077,23.8923339012,218.0,,2439259.0,48.79,243925900.0,123222.SZ
315,2026-02-02 00:00:00,118053,1004169444,84.0052015605,103.3887404186,30.00061656,59.9972352941,134.406,,,,,118053.SH
316,2026-02-02 00:00:00,118040,1003540818,105.4717642932,93.9821082197,53.30364761,36.6033847689,144.078,,,,,118040.SH
317,2026-02-02 00:00:00,118020,1003243569,58.5714285714,86.2413605673,44.32518131,112.5063414634,124.468,,,,,118020.SH
318,2026-02-02 00:00:00,111003,1002968248,90.9410729991,113.3327944729,19.81174613,49.3120715667,135.786,,,,,111003.SH
319,2026-02-02 00:00:00,123245,1003909378,232.4130314743,87.050756621,210.19259393,16.1832442385,270.025,,1537844.0,60.4,153784400.0,123245.SZ
320,2026-02-02 00:00:00,127067,1003154503,106.9431051109,107.4019234994,24.02012521,24.5522091975,133.2,,29995723.0,99.99,2999572300.0,127067.SZ
321,2026-02-02 00:00:00,123158,1003244611,118.1729598051,107.5858462113,50.38595289,36.9128777572,161.794,,18046804.0,91.61,1804680400.0,123158.SZ
322,2026-02-02 00:00:00,118050,1003914612,249.6394230769,105.2242999168,148.94154697,4.9301415503,261.947,,,,,118050.SH
323,2026-02-02 00:00:00,118007,1002983888,105.4545454545,102.5317053308,36.83279679,33.0402586207,140.297,,,,,118007.SH
324,2026-02-02 00:00:00,113633,1002853748,41.0932105869,108.0413792767,12.25513855,195.1387790535,121.282,,,,,113633.SH
325,2026-02-02 00:00:00,110077,1002447133,196.106557377,108.4861490651,95.37609347,8.0820564263,211.956,,,,,110077.SH
326,2026-02-02 00:00:00,127111,1004352899,93.8233792751,99.7986580323,43.08809639,52.2008705114,142.8,,,,,127111.SZ
327,2026-02-02 00:00:00,127083,1003423126,80.9461235217,105.780287442,19.04013786,55.5614951299,125.921,,48358949.0,100.0,4835894900.0,127083.SZ
328,2026-02-02 00:00:00,127076,1003270814,178.2592862345,107.5315929584,110.44977925,26.9499080695,226.3,,4838137.0,62.91,483813700.0,127076.SZ
329,2026-02-02 00:00:00,113686,1003862565,133.6196319018,106.0034571443,41.60198549,12.3360376492,150.103,,,,,113686.SH
330,2026-02-02 00:00:00,113671,1003529001,112.6103404792,106.5952477715,37.52301633,30.1772105263,146.593,,,,,113671.SH
331,2026-02-02 00:00:00,113661,1003299178,115.3324287653,107.2016259351,34.27501565,24.8087823529,143.945,,,,,113661.SH
332,2026-02-02 00:00:00,113627,1002699508,74.9042145594,108.9027541653,13.44524842,64.937314578,123.545,,,,,113627.SH
333,2026-02-02 00:00:00,113575,1002203861,83.257918552,101.367649293,98.00794573,141.0773695652,200.716,,,,,113575.SH
334,2026-02-02 00:00:00,113062,1003235788,122.5806451613,104.3500657282,25.39714191,6.7476842105,130.852,,,,,113062.SH
335,2026-02-02 00:00:00,113643,1002987886,76.3959390863,112.681347469,14.72440018,69.2144916944,129.273,,,,,113643.SH
336,2026-02-02 00:00:00,111005,1003127341,126.1268781302,105.3104315125,50.26241724,25.4625519523,158.242,,,,,111005.SH
337,2026-02-02 00:00:00,111000,1002643442,118.5590778098,113.7061509711,21.38833196,16.4195964998,138.026,,,,,111000.SH
338,2026-02-02 00:00:00,110089,1003242757,129.4718309859,107.9719914713,19.66899771,-0.2030024476,129.209,28.4,,,,110089.SH
339,2026-02-02 00:00:00,123262,1004499000,92.3750643998,92.2835437528,64.65882629,64.4956904629,151.953,,,,,123262.SZ
340,2026-02-02 00:00:00,123210,1003543158,130.0099161633,104.4142564255,48.44716163,19.2216752184,155.0,,12139417.0,99.93,1213941700.0,123210.SZ
341,2026-02-02 00:00:00,123182,1003420927,166.8126094571,100.5560936474,67.66761107,1.071496063,168.6,,5244674.0,74.92,524467400.0,123182.SZ
342,2026-02-02 00:00:00,123122,1002740386,50.9761151707,109.3844483299,12.89447621,142.2487464698,123.489,,5801913.0,99.83,580191300.0,123122.SZ
343,2026-02-02 00:00:00,123114,1002644950,119.1462249124,114.1954288809,33.46155927,27.9159286096,152.407,,9000338.0,99.52,900033800.0,123114.SZ
344,2026-02-02 00:00:00,128142,1002482888,100.1118568233,108.2842998135,22.17837695,32.1521787709,132.3,,7178804.0,99.98,717880400.0,128142.SZ
345,2026-02-02 00:00:00,128125,1002316831,108.8255733148,111.8829409049,13.86275599,17.0616392082,127.393,,4496601.0,99.92,449660100.0,128125.SZ
346,2026-02-02 00:00:00,127089,1003535103,96.3121783877,104.8510847243,21.06694016,31.800569902,126.94,,89588624.0,99.98,8958862400.0,127089.SZ
347,2026-02-02 00:00:00,123243,1003878658,159.9724896836,94.8621010872,70.15541312,0.9004737747,161.413,,3071453.0,65.64,307145300.0,123243.SZ
348,2026-02-02 00:00:00,123154,1003187679,34.6957311535,111.3802952195,11.92015585,259.2862748691,124.657,,5288860.0,99.98,528886000.0,123154.SZ
349,2026-02-02 00:00:00,123129,1002824899,113.3838383838,105.5908122622,38.93254238,29.383518931,146.7,,1936801.0,32.28,193680100.0,123129.SZ
350,2026-02-02 00:00:00,123113,1002611123,70.5586942875,112.0263690966,12.0495121,77.9015346975,125.525,,10248193.0,99.99,1024819300.0,123113.SZ
351,2026-02-02 00:00:00,128134,1002399353,69.2331670823,108.6693873615,16.2507704,82.4689022963,126.329,,15725958.0,83.65,1572595800.0,128134.SZ
352,2026-02-02 00:00:00,128124,1002314928,29.5542635659,103.8285288783,4.5945668,267.4562885246,108.599,,2245529.0,30.43,224552900.0,128124.SZ
353,2026-02-02 00:00:00,123242,1003877031,128.2872928177,99.9747757086,29.04755133,0.567248062,129.015,,1379438.0,55.18,137943800.0,123242.SZ
354,2026-02-02 00:00:00,123179,1003407631,44.2972774099,110.153245679,12.34167385,179.3580265781,123.748,,9499491.0,99.99,949949100.0,123179.SZ
355,2026-02-02 00:00:00,123112,1002603668,107.8313253012,117.4787146352,19.86511807,30.5891396648,140.816,,2264570.0,92.16,226457000.0,123112.SZ
356,2026-02-02 00:00:00,123092,1002487670,107.8313253012,110.5639980919,19.54524283,22.5747709497,132.174,,3422506.0,80.91,342250600.0,123092.SZ
357,2026-02-02 00:00:00,123213,1003544038,239.2156862745,105.9587217654,151.041156,11.1967213115,266.0,,3260141.0,32.6,326014100.0,123213.SZ
358,2026-02-02 00:00:00,123187,1003431474,160.5874757908,96.0547467466,89.65122097,13.4391079397,182.169,,2678724.0,57.12,267872400.0,123187.SZ
359,2026-02-02 00:00:00,118041,1003544932,111.624891962,100.4039552068,36.99161524,23.2207239644,137.545,,,,,118041.SH
